estado,puntuacion,puntaje_acumulado,tirar,plantarse,c_tirar,c_plantarse
0,6750,0,23072941250,477661450,11344875,291252
0,6750,50,286312750,4307850,262032,6786
0,6750,100,643639700,9665150,586047,15104
0,6750,150,892854500,13411000,817743,21122
0,6750,200,1490429000,21740900,1413066,36495
0,6750,250,1087458550,15956750,1021499,26407
0,6750,300,320033000,4700550,300847,7773
0,6750,350,93525050,1331550,88156,2277
0,6750,400,326032600,5916350,220105,5628
0,6750,450,257127100,5238950,126590,3251
0,6750,500,467832900,8848450,296001,7562
0,6750,550,142046800,4056300,70531,2450
0,6750,600,292325550,5910900,173808,4621
0,6750,650,129350300,3334350,62251,1934
0,6750,700,132896800,2802350,65535,1686
0,6750,750,92699900,2249550,44850,1349
0,6750,800,163392500,3628000,65153,1701
0,6750,850,101703350,5501000,38164,2349
0,6750,900,56819950,3012000,21517,1251
0,6750,950,7763950,696850,3856,411
0,6750,1000,373868800,8324450,205550,5886
0,6750,1050,22491200,421150,12932,313
0,6750,1100,45426250,2629550,21628,1514
0,6750,1150,34436400,767900,16042,432
0,6750,1200,88403450,4547050,30174,1767
0,6750,1250,57378700,2478200,18577,904
0,6750,1300,31508950,2487450,10291,915
0,6750,1350,5231550,88850,1970,45
0,6750,1400,25746150,614250,8091,208
0,6750,1450,3438700,61200,1294,26
0,6750,1500,1846031200,44381850,541841,14251
0,6750,1550,30775850,915250,12219,435
0,6750,1600,54857950,3148450,19113,1159
0,6750,1650,4152450,907550,1524,393
0,6750,1700,5591950,825300,2077,362
0,6750,1750,4852500,107500,1854,48
0,6750,1800,5089300,97300,1995,45
0,6750,1850,3228100,2342900,1148,936
0,6750,1900,18701950,502150,5468,159
0,6750,1950,23481350,536800,6587,160
0,6750,2000,12327900,14515750,3427,4340
0,6750,2050,14385700,434950,4003,132
0,6750,2100,15592100,759300,4313,220
0,6750,2150,6364100,6005050,1687,1721
0,6750,2200,11106800,1598650,3061,482
0,6750,2250,5900550,1163950,1644,357
0,6750,2300,9859100,7262150,2492,1959
0,6750,2350,10534450,244100,2634,64
0,6750,2400,3137050,3069750,778,813
0,6750,2450,693350,13050,196,5
0,6750,2500,4083000,87950,1063,26
0,6750,2550,1921500,32500,604,12
0,6750,2600,4151200,402450,1096,121
0,6750,2650,52350,2378400,16,664
0,6750,2700,7616950,150700,1787,37
0,6750,2750,4477100,84800,1028,21
0,6750,2800,3618000,64500,838,17
0,6750,2850,8100,660850,3,170
0,6750,2900,2929700,41850,668,11
0,6750,2950,3250,426800,2,107
0,6750,3000,906135700,21934750,196363,4931
0,6750,3050,11100,780550,6,211
0,6750,3100,75600,3607400,18,849
0,6750,3150,177200,1917650,59,544
0,6750,3200,222200,2524250,75,723
0,6750,3250,162150,1920250,52,550
