estado,puntuacion,tirar,plantarse,c_tirar,c_plantarse
0,0,11199050,266700,5697,164
0,50,22400,33300,11,25
0,100,132400,3000,62,2
0,150,0,257050,1,181
0,200,1879750,54750,894,30
0,250,62000,1447400,44,1004
0,300,126650,1089950,91,773
0,350,942450,48700,473,38
0,400,833850,22550,447,15
0,450,766550,211950,389,143
0,500,249450,948050,156,703
0,550,975500,33850,590,24
0,600,1407700,71050,685,72
0,650,830200,231500,433,176
0,700,1047000,17750,496,13
0,750,1148550,14800,722,12
0,800,1077550,117300,544,88
0,850,30700,835900,22,585
0,900,811600,212600,514,158
0,950,863950,10400,454,9
0,1000,1349650,31650,754,22
0,1050,436800,489150,228,333
0,1100,1061500,115300,520,75
0,1150,925850,24150,486,14
0,1200,1096500,13950,514,10
0,1250,1323750,31150,764,25
0,1300,1187000,116100,643,77
0,1350,1011750,13550,526,9
0,1400,995800,9400,513,9
0,1450,1019650,34200,626,22
0,1500,523750,292950,256,199
0,1550,19600,729550,16,495
0,1600,1312200,58100,811,40
0,1650,906250,114400,549,73
0,1700,958950,39300,506,22
0,1750,1305850,123400,746,97
0,1800,1103450,22250,688,17
0,1850,1016850,14750,613,15
0,1900,1331950,65100,790,44
0,1950,766100,290600,360,215
0,2000,879050,37150,476,25
0,2050,150750,635850,76,476
0,2100,1037400,117950,632,80
0,2150,1119000,23900,570,17
0,2200,896850,233600,474,170
0,2250,840950,12300,444,9
0,2300,16700,626850,12,447
0,2350,1129050,50000,584,36
0,2400,1135800,15950,591,14
0,2450,879900,192850,432,131
0,2500,19950,837700,16,661
0,2550,1083350,29350,651,22
0,2600,655450,382600,349,290
0,2650,150050,642550,71,427
0,2700,15300,594700,13,412
0,2750,653100,12550,315,7
0,2800,375800,586750,209,417
0,2850,1082650,134450,524,83
0,2900,1031050,19000,542,16
0,2950,679900,325350,363,220
0,3000,902800,11600,456,10
0,3050,999050,17100,500,16
0,3100,946100,10100,500,8
0,3150,984600,122650,525,90
