estado,puntuacion,tirar,plantarse,c_tirar,c_plantarse
0,0,113332250,2840500,56934,1812
0,50,0,182500,1,134
0,100,472450,12250,226,9
0,150,837350,1282950,400,836
0,200,18368500,389600,9214,243
0,250,21654000,422200,10699,265
0,300,14516550,276700,7288,186
0,350,8329300,331750,4157,223
0,400,10843250,210350,5480,143
0,450,10921450,265750,5550,162
0,500,15085500,314000,7688,194
0,550,12073950,418650,6972,329
0,600,12477150,360050,6221,245
0,650,10119450,271850,5105,180
0,700,11791350,643650,5997,436
0,750,9730500,203650,4888,124
0,800,8470000,884750,4338,587
0,850,10549050,197450,5286,116
0,900,11039000,351550,5525,217
0,950,8583400,2291300,5163,1508
0,1000,11473150,1345400,5937,987
0,1050,11754250,231200,5984,150
0,1100,10986600,217700,5592,139
0,1150,9676700,844000,5784,561
0,1200,9609550,176050,4916,123
0,1250,8924300,1837850,4421,1228
0,1300,9634750,2501500,5258,1880
0,1350,9560950,264500,4833,145
0,1400,7410200,1693200,3676,1122
0,1450,10176200,194550,5073,128
0,1500,10141600,368250,5036,236
0,1550,9390450,519000,4763,351
0,1600,10330200,243300,5174,156
0,1650,9933300,212050,5071,133
0,1700,8593650,1875950,4306,1256
0,1750,12971300,460150,7815,318
0,1800,9728100,706100,4928,510
0,1850,10200800,220000,5121,140
0,1900,12308350,258900,7132,175
0,1950,8862900,341650,4484,226
0,2000,9603250,205700,4850,131
0,2050,10905400,210000,5501,127
0,2100,10318850,224100,5206,143
0,2150,9533500,188800,4850,128
0,2200,9896800,1215500,4995,909
0,2250,10119950,673700,5094,429
0,2300,10354650,219000,5200,142
0,2350,9519650,208400,4997,131
0,2400,9431750,196950,4820,124
0,2450,9987100,238300,5008,147
0,2500,10504650,1348950,6076,886
0,2550,10193000,273000,5058,154
0,2600,10407850,249500,5334,154
0,2650,9887000,270300,4995,163
0,2700,8730700,497400,4357,317
0,2750,9441300,173750,4771,105
0,2800,10689700,234600,5333,136
0,2850,10866950,222000,5539,141
0,2900,2864700,5059250,1518,3522
0,2950,10176800,221500,5109,128
0,3000,12665450,313500,7680,204
0,3050,10177250,475500,5014,317
0,3100,8152400,2224550,4914,1584
0,3150,9772450,198350,4983,119
0,3200,9426200,368850,5286,244
0,3250,11484900,294150,6757,190
0,3300,11716300,403250,6998,257
0,3350,10247950,266650,5447,160
0,3400,8256900,1221650,4191,816
0,3450,1045050,6048200,585,4350
0,3500,8105600,195200,4094,122
0,3550,11229150,854600,6864,617
0,3600,10848150,297300,5479,175
0,3650,10091150,217500,5256,144
0,3700,4182650,3680050,2136,2522
0,3750,5712000,2029800,2896,1344
0,3800,9381300,218900,4829,142
0,3850,11273600,202500,5609,126
0,3900,11364900,251950,5595,154
0,3950,10076300,195000,5080,119
0,4000,8686700,864200,4373,591
0,4050,9668650,235500,4851,147
0,4100,10285000,236600,5153,153
0,4150,10496300,206800,5339,127
0,4200,11447800,232700,6552,165
0,4250,9325000,762450,4735,489
0,4300,9863650,197000,4925,126
0,4350,10273650,228850,5233,149
0,4400,10432250,191050,5151,126
0,4450,9097000,924800,4538,605
0,4500,9762450,713650,4900,452
0,4550,12090500,309850,7339,233
0,4600,11182600,412000,6254,263
0,4650,10118800,211300,5174,132
0,4700,9894500,221950,5230,138
0,4750,8138950,590250,4098,396
0,4800,8368600,184650,4307,115
0,4850,9937550,209000,5006,129
0,4900,10893600,195900,5531,134
0,4950,11023800,201050,5559,129
0,5000,10447850,447850,5371,291
0,5050,9774400,185250,5004,115
0,5100,11503250,578250,6794,421
0,5150,8342250,1561600,4236,1082
0,5200,12309900,484950,7332,346
0,5250,10019250,198050,5199,119
0,5300,9163000,204400,5044,134
0,5350,9216750,250200,4665,167
0,5400,8838050,540550,4460,356
0,5450,9898500,195550,5170,129
0,5500,9138450,1003550,4622,669
0,5550,10170200,198450,5202,128
0,5600,9993950,182700,5085,119
0,5650,7959450,1678550,4100,1135
0,5700,9556050,340750,4874,211
0,5750,10452300,223500,5568,149
0,5800,9183950,361400,4782,232
0,5850,9330400,646050,4786,427
0,5900,8864650,894200,4610,574
0,5950,9680450,209200,5078,130
0,6000,9663600,491600,4909,328
0,6050,9355600,680650,4893,458
0,6100,9923050,234500,5223,143
0,6150,10011400,222000,5135,146
0,6200,9658500,194350,5035,132
0,6250,8590850,1091650,4493,752
0,6300,7645650,1721300,3976,1170
0,6350,9818950,225350,5284,145
0,6400,9980050,258400,5275,163
0,6450,10574450,1295850,6666,961
0,6500,10081350,198550,5367,146
0,6550,9569600,178550,5087,123
0,6600,9198800,199600,5073,132
0,6650,7889800,2218500,4912,1656
0,6700,8265400,696350,4359,444
0,6750,10123050,264450,5502,179
0,6800,9864250,191150,5387,123
0,6850,7142900,1579700,3823,1183
0,6900,8470000,206200,4706,130
0,6950,8363150,1086100,4602,743
0,7000,9870900,572400,5619,420
0,7050,9106900,190900,5073,130
0,7100,9911100,287050,6219,202
0,7150,8843850,208550,5050,129
0,7200,5091000,3116750,2919,2175
0,7250,9121550,203850,5260,132
0,7300,8193400,180550,4824,126
0,7350,8325700,195200,4846,141
0,7400,9119100,185950,5394,132
0,7450,7128400,1346500,4210,968
0,7500,6464700,2347100,3862,1879
0,7550,9232100,1115050,6554,833
0,7600,8099350,561200,4958,444
0,7650,8059000,309300,4895,234
0,7700,7783900,153000,4762,106
0,7750,6762400,314050,4206,235
0,7800,7929400,143300,4965,106
0,7850,8321600,521900,5285,422
0,7900,7068200,1559050,4497,1235
0,7950,8020000,200150,5175,135
0,8000,7455650,152150,4964,120
0,8050,6936150,569000,4591,446
0,8100,7579450,168500,5073,123
0,8150,6860350,666400,4695,525
0,8200,7433300,169950,5149,132
0,8250,7258950,215650,5131,165
0,8300,7149250,148500,5211,119
0,8350,6196550,655400,4564,519
0,8400,5075800,1843050,3914,1617
0,8450,1623750,5862950,1483,5137
0,8500,181050,6913000,173,6072
0,8550,851950,5907450,818,5257
0,8600,147700,5616100,135,5025
0,8650,4619650,1525300,4692,1475
0,8700,4315600,457400,3862,426
0,8750,255600,5377600,270,5435
0,8800,109950,4521200,113,4418
0,8850,4967750,164150,4978,166
0,8900,4826100,234000,4980,249
0,8950,4139550,345850,4485,375
0,9000,493000,3762000,558,4232
0,9050,201350,4068900,238,4774
0,9100,168700,5154900,241,6598
0,9150,1383450,2526450,1816,3239
0,9200,96550,3480700,134,4695
0,9250,313650,2901250,468,4115
0,9300,78950,3418500,136,5259
0,9350,869100,1975000,1466,3160
0,9400,68400,2877100,123,4934
0,9450,54450,2649200,112,4915
0,9500,54000,2080050,120,4206
0,9550,88200,1865700,224,4165
0,9600,127200,2001400,358,5007
0,9650,44450,1784950,137,5101
0,9700,34200,1428300,127,4762
0,9750,110000,1042750,488,4172
0,9800,21400,874800,122,4375
0,9850,30750,583350,228,3890
0,9900,10100,418300,108,4184
0,9950,81850,141100,1680,2823
0,10000,0,0,1,1
1,0,922300,59406400,2136,81578
1,50,0,87550,3,158
1,100,5050,222150,10,298
1,150,16150,1041550,51,1670
1,200,150750,9361750,312,12967
1,250,179900,10946050,421,14913
1,300,121600,7511900,263,10347
1,350,57500,4294850,144,6027
1,400,86450,5817550,235,8047
1,450,86850,5684750,220,7891
1,500,111100,8128350,283,11106
1,550,140200,9065950,448,12657
1,600,137800,6570850,348,8993
1,650,70300,5412350,213,7496
1,700,89300,6372950,243,8844
1,750,64500,4936550,164,6772
1,800,78650,4988500,175,7162
1,850,73300,5438850,213,7554
1,900,70400,5638950,184,7780
1,950,129300,7854200,328,11408
1,1000,93100,7340650,297,10762
1,1050,78300,6301550,235,8650
1,1100,88650,5977550,194,8171
1,1150,95050,8088850,298,11686
1,1200,86400,5377850,192,7388
1,1250,80300,5634150,249,7968
1,1300,115800,7667900,283,11469
1,1350,73200,4998000,167,6823
1,1400,74600,4554200,199,6619
1,1450,107750,5339700,256,7288
1,1500,51600,5494850,173,7537
1,1550,84150,5149650,213,7145
1,1600,66300,5363250,195,7435
1,1650,67800,5257650,180,7358
1,1700,67450,5536850,200,7924
1,1750,128750,10245800,380,14504
1,1800,80150,5308550,194,7506
1,1850,73850,5266050,192,7277
1,1900,124800,8984250,343,12687
1,1950,74200,4609500,220,6280
1,2000,54400,4978250,168,6837
1,2050,84400,5715800,221,7705
1,2100,72850,5598750,191,7727
1,2150,56200,5140750,179,7065
1,2200,109100,5943950,244,8609
1,2250,56800,5375450,168,7508
1,2300,66400,5518000,190,7545
1,2350,64150,5195550,165,7209
1,2400,62200,4978150,173,7015
1,2450,51600,4990850,164,6831
1,2500,126450,8295650,320,12102
1,2550,70400,5326700,167,7339
1,2600,145100,5245400,367,7246
1,2650,78400,5085650,206,7116
1,2700,88550,4677500,157,6515
1,2750,54250,4852200,183,6744
1,2800,83350,5612750,208,7736
1,2850,77700,5783500,196,7713
1,2900,51450,4578300,217,7436
1,2950,72850,5342150,181,7408
1,3000,121050,10125750,352,14336
1,3050,60450,5277400,168,7231
1,3100,106050,7783950,297,11705
1,3150,89050,5317700,198,7356
1,3200,100100,6335050,217,9028
1,3250,123350,9196700,297,13079
1,3300,131250,9371850,331,13299
1,3350,89300,6249450,230,8674
1,3400,55950,4928600,176,6956
1,3450,46350,4459900,207,7892
1,3500,64000,4488800,154,6125
1,3550,126950,9432850,370,13782
1,3600,91300,5817950,194,8068
