estado,puntuacion,tirar,plantarse,c_tirar,c_plantarse
0,0,0,0,1,1
0,50,10644700,7482300,6149,5530
0,100,18385900,220150,9114,134
0,150,21868300,292050,12942,190
0,200,10158450,7786100,6108,5862
0,250,21721250,862950,12290,624
0,300,20200650,1830500,11369,1377
0,350,33006450,257400,24837,308
0,400,113772950,891850,117597,1781
0,450,157913150,1137550,159929,2119
0,500,138166950,1057400,132762,1830
0,550,89321850,1138400,78605,1631
0,600,93149350,1177100,78691,1657
0,650,80447300,682300,64553,867
0,700,71267650,627250,54485,716
0,750,55423100,480100,39143,474
0,800,114454450,991350,85669,1104
0,850,84121850,1445450,59535,1447
0,900,51385800,483150,32377,422
0,950,19055450,225000,8644,124
0,1000,30481500,332950,16345,233
0,1050,18150200,1468750,8070,853
0,1100,31402450,280150,16499,192
0,1150,29552600,1073150,15115,718
0,1200,68766450,695350,39309,508
0,1250,50985700,742200,27579,506
0,1300,36478900,2029550,18433,1318
0,1350,18847000,612250,7983,334
0,1400,31256300,988950,14952,596
0,1450,18774300,197650,7955,102
0,1500,1593840100,16401300,833735,10905
0,1550,9801750,113550,3089,42
0,1600,23724700,227850,10294,121
0,1650,9477400,60250,3053,25
0,1700,9401850,138550,2927,47
0,1750,7697900,1140750,2372,415
0,1800,4870600,3660700,1474,1316
0,1850,10108100,93450,3271,33
0,1900,20102400,1419400,7680,645
0,1950,24150200,1655850,9396,758
0,2000,24320950,290600,9215,128
0,2050,18389200,607750,6532,257
0,2100,17202900,2079350,6158,887
0,2150,15828650,1145350,5514,459
0,2200,3854800,9471900,1295,3722
0,2250,11095950,143450,3643,52
0,2300,13282900,6500250,4596,2598
0,2350,15796250,192100,5352,73
0,2400,9936250,1721050,3155,624
0,2450,3727750,3333500,1072,1077
0,2500,8877750,849650,2628,292
0,2550,6073500,1519350,1656,493
0,2600,89700,7870300,31,2657
0,2650,110950,7373850,38,2419
0,2700,119100,10859600,42,3721
0,2750,10447800,128100,3078,42
0,2800,98600,8137500,34,2685
0,2850,4570550,2514250,1316,798
0,2900,199100,7775550,65,2523
0,2950,6916850,73700,2066,24
0,3000,808746750,43025100,243201,14334
0,3050,1936250,16900,446,5
0,3100,3709250,52350,986,16
0,3150,18000,1766000,5,401
0,3200,54900,1697600,13,382
0,3250,1831800,32200,382,8
0,3300,38600,1456700,9,327
0,3350,2212750,47000,546,13
0,3400,5068300,2492950,1336,693
0,3450,5184700,4577400,1358,1275
0,3500,8561500,84000,2256,25
0,3550,79900,5440650,22,1453
0,3600,6555400,80100,1674,23
0,3650,71300,5037400,19,1302
0,3700,4318850,77100,1013,20
0,3750,13300,2500150,4,606
0,3800,6866150,69500,1736,19
0,3850,55150,4781500,16,1186
0,3900,26300,3006550,8,719
0,3950,1365750,25950,263,7
0,4000,1965500,36250,431,8
0,4050,4800,1216600,2,242
0,4100,2067450,28150,453,7
0,4150,9900,1441400,3,309
0,4200,75400,3025350,17,673
0,4250,37750,2319400,10,509
0,4300,1377600,606000,322,129
0,4350,14650,1116800,4,231
0,4400,23450,1800500,8,381
0,4450,986250,10450,204,3
0,4500,970550,80564550,227,17878
0,4550,10300,437900,2,70
0,4600,1358950,4600,282,2
0,4650,0,423800,1,65
0,4700,0,420650,1,66
0,4750,421250,10750,65,3
0,4800,448700,0,71,1
0,4850,10300,434950,2,70
0,4900,872450,0,164,1
0,4950,15350,933200,5,171
0,5000,5350,962150,2,174
0,5050,0,599900,1,102
0,5100,34750,724000,8,128
0,5150,378000,9350,60,2
0,5200,6150,475000,2,78
0,5250,5550,311000,3,51
0,5300,11800,838700,3,137
0,5350,495700,5350,73,2
0,5400,0,373800,1,55
0,5450,0,408150,2,58
0,5500,0,452900,1,67
0,5550,381300,0,52,1
0,5600,325450,6000,53,2
0,5650,0,284900,1,40
0,5700,286050,6000,43,2
0,5750,333950,6000,53,2
0,5800,6350,405400,2,58
0,5850,6100,241900,2,35
0,5900,6300,325400,2,47
0,5950,34000,271450,6,36
0,6000,13168250,144000,2234,25
0,6050,223850,6500,29,2
0,6100,280400,0,35,1
