estado,puntuacion,puntaje_acumulado,tirar,plantarse,c_tirar,c_plantarse
0,6750,0,2320282100,23661950,1144085,14460
0,6750,50,28928300,227000,26656,357
0,6750,100,64597850,847300,59260,1302
0,6750,150,90144200,1096750,83223,1737
0,6750,200,140651100,1947500,133779,3216
0,6750,250,99951250,855850,93992,1406
0,6750,300,26626500,415550,24630,697
0,6750,350,5040900,220800,4315,315
0,6750,400,27072200,495750,17278,423
0,6750,450,22194550,254250,10250,143
0,6750,500,41384950,336850,25838,302
0,6750,550,12660600,187000,6075,104
0,6750,600,25924300,288200,15073,218
0,6750,650,11510200,87850,5264,53
0,6750,700,10632500,151500,4912,82
0,6750,750,7004000,61700,3101,32
0,6750,800,14645000,144750,5625,63
0,6750,850,10014550,75400,3743,36
0,6750,900,52600,4966950,24,2161
0,6750,950,0,585000,1,364
0,6750,1000,32872000,354050,18140,254
0,6750,1050,1341600,13550,767,10
0,6750,1100,3375950,36700,1480,19
0,6750,1150,57850,2022050,36,1027
0,6750,1200,8035750,89800,2768,32
0,6750,1250,5067750,62950,1674,24
0,6750,1300,25750,2837350,10,1003
0,6750,1350,347900,3200,135,3
0,6750,1400,37850,2357900,18,815
0,6750,1450,276800,0,101,1
0,6750,1500,184494800,4287950,54179,1404
0,6750,1550,0,173850,2,79
0,6750,1600,93900,2323350,28,753
0,6750,1650,14200,310700,7,123
0,6750,1700,6800,360750,4,153
0,6750,1750,0,270450,2,118
0,6750,1800,347750,1900,134,2
0,6750,1850,381450,3950,127,3
0,6750,1900,25900,1490650,10,457
0,6750,1950,2020350,22200,570,8
0,6750,2000,22800,2286050,7,659
0,6750,2050,1204350,24000,329,8
0,6750,2100,11250,1267300,4,365
0,6750,2150,1020000,9150,281,4
0,6750,2200,947100,10850,261,4
0,6750,2250,540150,5350,151,3
0,6750,2300,14750,1410400,5,378
0,6750,2350,14700,1024500,5,269
0,6750,2400,319700,3900,88,2
0,6750,2450,68950,6050,22,3
0,6750,2500,0,393500,1,109
0,6750,2550,0,206500,1,72
0,6750,2600,318950,4100,92,2
0,6750,2650,69250,0,25,1
0,6750,2700,0,656250,1,163
0,6750,2750,449350,0,113,1
0,6750,2800,0,169600,1,46
0,6750,2850,0,98650,1,29
0,6750,2900,0,158450,1,41
0,6750,2950,54200,0,15,1
0,6750,3000,92489050,1216650,20135,274
0,6750,3050,57450,3100,17,2
0,6750,3100,208100,0,56,1
0,6750,3150,85600,63000,27,21
0,6750,3200,19900,160600,8,47
0,6750,3250,16250,196500,7,59
0,6750,3300,21300,191550,7,57
0,6750,3350,3350,191200,2,52
0,6750,3400,25500,619400,8,144
0,6750,3450,847350,62950,185,19
0,6750,3500,721300,64150,154,19
0,6750,3550,25400,598050,8,128
0,6750,3600,548750,78600,125,22
0,6750,3650,5850,526900,3,115
0,6750,3700,363600,54900,76,15
0,6750,3750,7500,282800,4,64
0,6750,3800,505050,41800,112,12
0,6750,3850,16450,441200,5,91
0,6750,3900,0,201450,2,42
0,6750,3950,3950,51900,3,13
0,6750,4000,9650,178300,3,40
0,6750,4050,4050,109350,2,27
0,6750,4100,0,233750,1,52
0,6750,4150,0,58200,1,15
0,6750,4200,11750,343300,4,68
0,6750,4250,0,217550,1,43
0,6750,4300,87050,47300,16,12
0,6750,4350,4350,62400,2,15
0,6750,4400,0,109500,1,25
0,6750,4450,8900,95050,3,22
0,6750,4500,171100,8532400,32,1462
0,6750,4550,43550,18200,11,5
0,6750,4600,0,155400,1,29
0,6750,4650,4650,28600,2,7
0,6750,4700,0,25400,1,6
0,6750,4750,4750,29200,3,7
0,6750,4800,0,63200,1,13
0,6750,4850,0,23900,1,5
0,6750,4900,0,44300,1,10
0,6750,4950,6950,108000,3,18
0,6750,5000,27300,10000,6,3
0,6750,5050,5050,40250,2,8
0,6750,5100,0,17200,1,4
0,6750,5150,5850,11000,3,3
0,6750,5200,30700,10400,6,3
0,6750,5250,0,21900,1,5
0,6750,5300,0,6800,2,2
0,6750,5350,0,12200,1,3
0,6750,5400,0,41300,1,8
0,6750,5450,0,5450,1,2
0,6750,5500,0,16500,1,4
0,6750,5550,0,16650,1,4
0,6750,5600,0,16800,1,4
0,6750,5650,0,17000,1,4
0,6750,5700,0,5700,1,2
0,6750,5750,0,24550,1,5
0,6750,5800,5800,5800,2,2
0,6750,5850,0,0,2,1
0,6750,5900,0,17700,1,4
0,6750,5950,0,0,1,1
0,6750,6000,0,1357700,2,189
0,6750,6050,0,0,1,1
0,6750,6100,0,0,2,1
0,6750,6150,0,6150,1,2
0,6750,6200,0,6250,1,2
0,6750,6250,7950,0,2,1
0,6750,6300,0,19250,1,4
0,6750,6350,15300,0,4,1
0,6750,6400,0,0,1,1
0,6750,6450,0,0,1,1
0,6750,6500,0,0,1,1
0,6750,6550,0,6550,1,2
0,6750,6600,0,15100,1,3
0,6750,6650,0,0,1,1
0,6750,6700,24850,0,5,1
0,6750,6750,0,0,1,1
0,6750,6800,8600,0,3,1
0,6750,6850,0,13800,1,3
0,6750,6900,0,0,2,1
0,6750,6950,0,0,1,1
0,6750,7000,0,0,1,1
0,6750,7050,15050,0,3,1
0,6750,7100,0,0,1,1
0,6750,7150,0,7650,1,2
0,6750,7200,0,0,2,1
0,6750,7250,0,0,1,1
0,6750,7300,0,0,1,1
0,6750,7350,0,0,1,1
0,6750,7400,0,0,1,1
0,6750,7450,0,0,1,1
0,6750,7500,0,0,1,1
0,6750,7550,0,0,1,1
0,6750,7600,0,0,1,1
0,6750,7650,0,0,1,1
0,6750,7700,0,0,1,1
0,6750,7750,0,0,1,1
0,6750,7800,0,0,1,1
0,6750,7850,0,0,1,1
0,6750,7900,0,0,1,1
0,6750,7950,0,0,1,1
0,6750,8000,0,0,1,1
0,6750,8050,0,0,1,1
0,6750,8100,0,0,1,1
0,6750,8150,0,0,1,1
