estado,puntuacion,puntaje_acumulado,tirar,plantarse,c_tirar,c_plantarse
0,6750,0,2303892650,48563700,1136602,29688
0,6750,50,28385250,434500,26189,670
0,6750,100,63587750,971750,58417,1508
0,6750,150,88519900,1296950,81617,2033
0,6750,200,145948700,2240750,139013,3743
0,6750,250,106235750,1552800,100806,2598
0,6750,300,31697650,498050,29890,799
0,6750,350,9127350,166300,8718,252
0,6750,400,31767000,637400,21599,570
0,6750,450,24440300,935100,12207,579
0,6750,500,45500400,870900,29006,744
0,6750,550,13983150,287250,7072,193
0,6750,600,28369650,569150,16975,438
0,6750,650,12675450,262600,6181,155
0,6750,700,12279650,682750,6187,420
0,6750,750,6907900,1773850,3404,1047
0,6750,800,16097150,344550,6437,156
0,6750,850,9818350,377050,3700,160
0,6750,900,5736650,122300,2130,50
0,6750,950,608400,3050,312,3
0,6750,1000,33726100,2524150,18742,1779
0,6750,1050,2262250,48650,1330,35
0,6750,1100,4772000,77250,2287,48
0,6750,1150,3482750,83450,1663,48
0,6750,1200,4816500,3366600,1709,1330
0,6750,1250,107850,4969700,42,1792
0,6750,1300,2916700,83950,985,33
0,6750,1350,28050,362950,13,157
0,6750,1400,2356500,69800,764,25
0,6750,1450,313200,2950,121,2
0,6750,1500,183391750,4135550,54193,1342
0,6750,1550,1053450,1318800,418,614
0,6750,1600,3554400,1612350,1247,603
0,6750,1650,507150,24400,189,11
0,6750,1700,624750,15750,241,8
0,6750,1750,463700,8750,175,5
0,6750,1800,226100,253100,94,122
0,6750,1850,13750,451500,6,190
0,6750,1900,1587800,154300,478,51
0,6750,1950,2245750,89400,657,30
0,6750,2000,2465350,50150,717,17
0,6750,2050,1456850,27650,410,9
0,6750,2100,1584600,15600,447,6
0,6750,2150,332150,841050,87,244
0,6750,2200,32400,1085450,11,339
0,6750,2250,386800,241600,114,81
0,6750,2300,1702100,35900,443,10
0,6750,2350,922200,28650,249,8
0,6750,2400,704050,10200,179,4
0,6750,2450,3050,123850,2,39
0,6750,2500,8350,434950,3,121
0,6750,2550,6450,213450,3,75
0,6750,2600,426100,9400,128,4
0,6750,2650,10550,253650,4,76
0,6750,2700,3000,508350,3,125
0,6750,2750,3500,98950,2,28
0,6750,2800,338000,15750,82,5
0,6750,2850,34100,0,11,1
0,6750,2900,299950,7700,72,3
0,6750,2950,3400,34150,2,11
0,6750,3000,2253200,87842750,528,19745
0,6750,3050,135900,3350,38,2
0,6750,3100,346750,11850,81,4
0,6750,3150,26100,188700,11,55
0,6750,3200,215950,41600,63,14
0,6750,3250,17350,196850,7,58
0,6750,3300,53450,198100,20,59
0,6750,3350,198050,41050,52,13
0,6750,3400,47250,671350,13,156
0,6750,3450,826700,66000,189,18
0,6750,3500,32150,855750,9,188
0,6750,3550,22950,489400,7,107
0,6750,3600,476500,21600,104,7
0,6750,3650,19650,434900,6,94
0,6750,3700,394750,42300,84,12
0,6750,3750,3750,301300,5,67
0,6750,3800,498700,37800,105,10
0,6750,3850,267550,57000,62,15
0,6750,3900,8150,207100,3,42
0,6750,3950,4250,48600,2,13
0,6750,4000,122850,40000,25,11
0,6750,4050,8400,114250,3,28
0,6750,4100,8750,205600,3,43
0,6750,4150,104050,56950,22,14
0,6750,4200,5000,197950,2,38
0,6750,4250,8500,55400,3,13
0,6750,4300,6100,135650,2,27
0,6750,4350,0,21750,1,6
0,6750,4400,7850,85250,2,17
0,6750,4450,0,38500,1,9
0,6750,4500,85250,3827150,19,657
0,6750,4550,0,14000,1,4
0,6750,4600,10600,41100,4,8
0,6750,4650,0,14500,1,4
0,6750,4700,0,17250,1,4
0,6750,4750,40200,9500,8,3
0,6750,4800,24100,4800,6,2
0,6750,4850,0,30300,3,7
0,6750,4900,64700,0,11,1
0,6750,4950,0,92500,1,16
0,6750,5000,0,42950,1,8
0,6750,5050,5050,33200,2,7
0,6750,5100,5100,48950,2,9
0,6750,5150,0,33350,1,7
0,6750,5200,44250,10500,9,3
0,6750,5250,0,17500,1,4
0,6750,5300,66350,5300,11,2
0,6750,5350,0,25650,1,5
0,6750,5400,0,12400,2,3
0,6750,5450,0,0,1,1
0,6750,5500,0,23800,1,5
