estado,puntuacion,puntaje_acumulado,tirar,plantarse,c_tirar,c_plantarse
0,0,0,325696600,6205900,161331,3750
0,0,50,3695000,303000,3479,478
0,0,100,9090650,67000,8677,103
0,0,150,12344200,97550,11749,155
0,0,200,10811650,84850,10406,136
0,0,250,5501200,249400,5283,422
0,0,300,1605800,228950,1583,389
0,0,350,630550,2550,548,7
0,0,400,1553750,94950,878,61
0,0,450,1906450,26550,1003,16
0,0,500,1932100,23700,938,15
0,0,550,1439150,17150,664,13
0,0,600,541550,925750,259,517
0,0,650,695700,541250,316,301
0,0,700,556250,507850,257,297
0,0,750,773550,5750,395,6
0,0,800,17850,1549400,10,692
0,0,850,22750,1058400,11,445
0,0,900,584050,6000,251,4
0,0,950,129750,1200,80,2
0,0,1000,6700,310150,7,159
0,0,1050,0,173950,1,132
0,0,1100,368050,5100,173,5
0,0,1150,277800,0,140,1
0,0,1200,691100,0,241,1
0,0,1250,6000,397350,3,150
0,0,1300,321800,2800,117,2
0,0,1350,0,77850,1,42
0,0,1400,42000,193000,20,73
0,0,1450,0,54850,1,27
0,0,1500,14070950,11829000,4151,3770
0,0,1550,2350,60850,3,28
0,0,1600,241150,3100,89,2
0,0,1650,0,32050,1,15
0,0,1700,0,45950,1,21
0,0,1750,0,40900,1,19
0,0,1800,0,27200,1,15
0,0,1850,0,37500,1,17
0,0,1900,176300,5700,52,3
0,0,1950,0,136550,2,44
0,0,2000,3800,199800,2,64
0,0,2050,145700,0,40,1
0,0,2100,127950,0,42,1
0,0,2150,88900,0,24,1
0,0,2200,136650,3700,40,2
0,0,2250,66250,3750,22,2
0,0,2300,61400,0,21,1
0,0,2350,0,71800,1,23
0,0,2400,60550,0,20,1
0,0,2450,0,10250,2,5
0,0,2500,40900,2750,16,2
0,0,2550,21150,0,8,1
0,0,2600,26200,0,14,1
0,0,2650,0,29350,1,9
0,0,2700,3050,88550,2,24
0,0,2750,15750,0,6,1
0,0,2800,52900,0,14,1
0,0,2850,4450,0,2,1
0,0,2900,17700,0,6,1
0,0,2950,0,4450,1,2
0,0,3000,121050,12328400,31,2660
0,0,3050,0,30900,1,10
0,0,3100,0,51650,1,15
0,0,3150,11600,0,4,1
0,0,3200,0,3400,1,2
0,0,3250,0,6750,1,3
0,0,3300,30600,0,9,1
0,0,3350,39400,0,13,1
0,0,3400,49150,0,12,1
0,0,3450,0,55850,1,13
0,0,3500,67400,0,16,1
0,0,3550,75750,0,16,1
0,0,3600,0,15350,1,4
0,0,3650,0,3700,1,2
0,0,3700,0,32650,1,8
0,0,3750,9400,0,6,1
0,0,3800,21000,0,7,1
0,0,3850,0,4150,2,2
0,0,3900,0,10800,1,3
0,0,3950,0,0,1,1
0,0,4000,0,0,1,1
0,0,4050,0,0,1,1
0,0,4100,0,22700,1,6
0,0,4150,10150,0,3,1
0,0,4200,37650,7200,7,2
0,0,4250,0,4350,1,2
0,0,4300,0,20300,1,5
0,0,4350,0,0,1,1
0,0,4400,0,8900,1,3
0,0,4450,4700,0,3,1
0,0,4500,5550,427400,2,71
0,0,4550,0,0,1,1
0,0,4600,0,0,1,1
0,0,4650,0,0,1,1
0,0,4700,0,0,1,1
0,0,4750,31550,0,8,1
0,0,4800,15600,0,4,1
0,0,4850,0,4950,1,2
0,0,4900,23300,0,6,1
0,0,4950,0,0,2,1
0,0,5000,0,8000,1,2
0,0,5050,36400,0,7,1
