estado,puntuacion,puntaje_acumulado,tirar,plantarse,c_tirar,c_plantarse
0,0,0,328039800,6542900,161816,3982
0,0,50,3920800,126300,3718,195
0,0,100,8700950,253350,8193,413
0,0,150,12181100,218850,11524,337
0,0,200,13223650,422900,12421,680
0,0,250,7854850,215900,7606,362
0,0,300,2804000,45650,2763,78
0,0,350,917650,52150,885,107
0,0,400,2522300,90950,1680,65
0,0,450,2770100,54050,1435,34
0,0,500,2894750,355050,1696,225
0,0,550,1648100,31850,833,20
0,0,600,1856600,451550,1031,276
0,0,650,1387650,33200,721,21
0,0,700,24350,1090600,21,706
0,0,750,866350,8050,483,9
0,0,800,1791200,124250,713,60
0,0,850,42350,1178200,20,508
0,0,900,18500,582700,9,252
0,0,950,64500,1250,38,2
0,0,1000,1161600,315750,651,180
0,0,1050,0,204650,1,157
0,0,1100,632400,6200,295,5
0,0,1150,183100,196950,75,104
0,0,1200,29000,713250,17,277
0,0,1250,8200,492050,5,178
0,0,1300,5300,293500,4,109
0,0,1350,52350,0,24,1
0,0,1400,281000,18850,108,7
0,0,1450,0,36900,1,19
0,0,1500,25598800,678750,7636,218
0,0,1550,77000,330000,33,157
0,0,1600,7600,670700,4,272
0,0,1650,68250,1750,31,2
0,0,1700,2550,83100,2,41
0,0,1750,50950,2000,25,2
0,0,1800,0,63800,1,33
0,0,1850,0,55350,1,25
0,0,1900,209750,11450,68,5
0,0,1950,2850,285650,2,85
0,0,2000,2200,286350,2,89
0,0,2050,131600,41000,39,13
0,0,2100,146700,5100,42,2
0,0,2150,139800,8550,43,4
0,0,2200,7750,81400,3,26
0,0,2250,68250,0,22,1
0,0,2300,175900,6150,53,3
0,0,2350,4050,57550,2,16
0,0,2400,0,63550,1,20
0,0,2450,0,27900,1,11
0,0,2500,0,24450,1,8
0,0,2550,19000,10700,6,5
0,0,2600,68550,0,21,1
0,0,2650,0,47100,1,15
0,0,2700,0,37600,1,12
0,0,2750,17550,0,7,1
0,0,2800,31300,0,10,1
0,0,2850,25650,0,11,1
0,0,2900,52050,0,16,1
0,0,2950,0,15450,1,6
0,0,3000,360050,12778950,79,2755
0,0,3050,15100,0,5,1
0,0,3100,32900,3350,8,2
0,0,3150,24350,0,8,1
0,0,3200,4100,31250,2,10
0,0,3250,35150,0,10,1
0,0,3300,0,27400,1,9
0,0,3350,0,32450,1,10
0,0,3400,3800,66200,2,17
0,0,3450,0,84000,1,20
0,0,3500,0,52000,2,12
0,0,3550,0,51900,1,13
0,0,3600,0,55100,1,12
0,0,3650,53050,9000,12,3
0,0,3700,0,48200,1,12
0,0,3750,27850,0,9,1
0,0,3800,5450,84100,3,17
0,0,3850,0,12300,1,4
0,0,3900,9600,0,4,1
0,0,3950,0,4100,1,2
0,0,4000,14100,0,4,1
0,0,4050,8750,0,5,1
0,0,4100,0,29450,1,7
0,0,4150,0,25350,1,7
0,0,4200,9900,0,3,1
0,0,4250,0,9750,1,3
0,0,4300,0,0,1,1
0,0,4350,4800,0,2,1
0,0,4400,4650,11800,2,3
0,0,4450,9500,0,3,1
0,0,4500,0,811150,2,131
0,0,4550,0,4650,1,2
0,0,4600,0,15650,1,4
0,0,4650,0,15400,1,4
0,0,4700,0,25400,1,6
0,0,4750,0,19950,1,5
0,0,4800,5150,0,2,1
0,0,4850,0,4900,3,2
0,0,4900,0,15000,1,4
0,0,4950,0,0,2,1
0,0,5000,0,11100,1,3
0,0,5050,11300,0,4,1
0,0,5100,0,19200,1,4
0,0,5150,7300,0,2,1
0,0,5200,0,0,1,1
0,0,5250,0,0,2,1
0,0,5300,0,17500,1,4
0,0,5350,0,0,1,1
0,0,5400,0,0,1,1
0,0,5450,5750,0,2,1
0,0,5500,0,0,1,1
0,0,5550,0,0,1,1
0,0,5600,0,7100,1,2
0,0,5650,0,0,1,1
0,0,5700,6050,0,2,1
0,0,5750,0,0,1,1
0,0,5800,0,0,1,1
0,0,5850,0,0,1,1
0,0,5900,0,0,1,1
0,0,5950,0,0,1,1
0,0,6000,8200,0,2,1
0,0,6050,0,0,1,1
0,0,6100,0,0,1,1
0,0,6150,0,0,1,1
0,0,6200,0,0,1,1
0,0,6250,0,0,1,1
0,0,6300,6650,0,2,1
0,0,6350,0,0,1,1
0,0,6400,0,0,1,1
0,0,6450,0,0,1,1
0,0,6500,0,0,1,1
0,0,6550,0,0,1,1
0,0,6600,0,0,1,1
0,0,6650,0,0,1,1
0,0,6700,0,0,1,1
0,0,6750,0,0,2,1
0,0,6800,0,0,1,1
0,0,6850,0,0,1,1
0,0,6900,0,0,1,1
0,0,6950,0,0,1,1
0,0,7000,0,0,1,1
0,0,7050,0,0,1,1
0,0,7100,0,0,1,1
0,0,7150,0,0,1,1
0,0,7200,0,0,1,1
0,0,7250,0,0,1,1
0,0,7300,0,0,1,1
0,0,7350,0,0,1,1
0,0,7400,0,0,1,1
0,0,7450,0,0,1,1
0,0,7500,0,0,1,1
0,0,7550,0,0,1,1
0,0,7600,0,0,1,1
0,0,7650,0,0,1,1
0,0,7700,0,0,1,1
0,0,7750,0,0,1,1
0,0,7800,0,0,1,1
0,0,7850,0,0,1,1
0,0,7900,0,0,1,1
0,0,7950,0,0,1,1
0,0,8000,0,0,1,1
0,0,8050,0,0,1,1
0,0,8100,0,0,1,1
0,0,8150,0,0,1,1
0,0,8200,0,0,1,1
0,0,8250,0,0,1,1
0,0,8300,0,0,1,1
0,0,8350,0,0,1,1
0,0,8400,0,0,1,1
0,0,8450,0,0,1,1
0,0,8500,0,0,1,1
0,0,8550,0,0,1,1
0,0,8600,0,0,1,1
0,0,8650,0,0,1,1
0,0,8700,0,0,1,1
0,0,8750,0,0,1,1
0,0,8800,0,0,1,1
0,0,8850,0,0,1,1
0,0,8900,0,0,1,1
0,0,8950,0,0,1,1
0,0,9000,0,0,1,1
0,0,9050,0,0,1,1
0,0,9100,0,0,1,1
0,0,9150,0,0,1,1
0,0,9200,0,0,1,1
0,0,9250,0,0,1,1
0,0,9300,0,0,1,1
0,0,9350,0,0,1,1
0,0,9400,0,0,1,1
0,0,9450,0,0,1,1
0,0,9500,0,0,1,1
0,0,9550,0,0,1,1
0,0,9600,0,0,1,1
0,0,9650,0,0,1,1
0,0,9700,0,0,1,1
0,0,9750,0,0,1,1
0,0,9800,0,0,1,1
0,0,9850,0,0,1,1
0,0,9900,0,0,1,1
0,0,9950,0,0,1,1
0,0,10000,0,0,1,1
0,1000,0,326917250,9272300,161237,5611
0,1000,50,3863850,53500,3702,86
0,1000,100,8558800,379750,8044,606
0,1000,150,12254150,264800,11488,419
0,1000,200,12724600,382100,12178,614
0,1000,250,8152100,112700,7843,196
0,1000,300,2954900,60100,2920,100
0,1000,350,818200,130250,775,189
0,1000,400,619950,1505200,443,1191
0,1000,450,2576200,53300,1370,36
0,1000,500,2281300,631700,1354,387
0,1000,550,1504700,21350,815,16
0,1000,600,2276750,45750,1229,34
0,1000,650,743900,808100,369,451
0,1000,700,38200,1189350,26,733
0,1000,750,716650,104000,363,66
0,1000,800,209950,1433900,120,672
0,1000,850,1121850,16750,457,8
0,1000,900,20550,631800,12,273
0,1000,950,0,78750,1,51
0,1000,1000,1187550,87450,653,52
0,1000,1050,140300,93850,92,73
0,1000,1100,4800,424450,6,240
0,1000,1150,9700,328000,6,183
0,1000,1200,20150,811850,10,318
0,1000,1250,9200,490500,5,178
0,1000,1300,333750,7100,124,3
0,1000,1350,42850,0,20,1
0,1000,1400,227950,14500,90,6
0,1000,1450,60400,0,26,1
0,1000,1500,24850650,2090400,7292,659
0,1000,1550,434950,10500,188,6
0,1000,1600,22200,714800,11,295
0,1000,1650,7700,90950,5,41
0,1000,1700,0,95800,1,47
0,1000,1750,74800,0,31,1
0,1000,1800,79400,0,37,1
0,1000,1850,0,103450,1,50
0,1000,1900,0,92850,2,37
0,1000,1950,5900,247550,3,80
0,1000,2000,243850,0,74,1
0,1000,2050,147650,6200,53,3
0,1000,2100,16850,204250,6,61
0,1000,2150,0,115250,1,36
0,1000,2200,111200,0,34,1
0,1000,2250,4900,84450,2,29
0,1000,2300,4000,81450,4,26
0,1000,2350,104300,0,42,1
0,1000,2400,0,67450,1,21
0,1000,2450,9250,0,6,1
0,1000,2500,0,62150,1,19
0,1000,2550,44150,2700,16,2
0,1000,2600,44800,4100,17,2
0,1000,2650,49250,0,16,1
0,1000,2700,0,37950,1,12
0,1000,2750,3200,5850,2,3
0,1000,2800,45600,4300,10,2
0,1000,2850,0,10350,1,4
0,1000,2900,0,19400,1,6
0,1000,2950,0,6250,1,3
0,1000,3000,1929200,11446700,435,2465
0,1000,3050,15300,0,8,1
0,1000,3100,0,40150,1,12
0,1000,3150,7450,0,4,1
0,1000,3200,0,31900,2,10
0,1000,3250,0,42700,1,12
0,1000,3300,21100,0,7,1
0,1000,3350,43250,3550,13,2
0,1000,3400,49250,0,14,1
0,1000,3450,0,47400,1,11
0,1000,3500,0,74550,1,18
0,1000,3550,5650,56900,2,14
0,1000,3600,0,77250,1,19
0,1000,3650,0,40250,1,11
0,1000,3700,0,27850,1,8
0,1000,3750,0,29700,2,7
0,1000,3800,0,38000,1,10
0,1000,3850,0,60650,1,14
0,1000,3900,25400,0,6,1
0,1000,3950,30550,0,7,1
0,1000,4000,0,27800,1,7
0,1000,4050,0,4150,1,2
0,1000,4100,17850,0,7,1
0,1000,4150,25000,0,8,1
0,1000,4200,0,8600,1,3
0,1000,4250,0,0,1,1
0,1000,4300,10850,0,3,1
0,1000,4350,0,0,1,1
0,1000,4400,28400,0,6,1
0,1000,4450,5000,0,2,1
0,1000,4500,732950,25500,140,5
0,1000,4550,0,15500,1,4
0,1000,4600,11550,0,3,1
0,1000,4650,0,0,1,1
0,1000,4700,0,5100,2,2
0,1000,4750,0,0,2,1
0,1000,4800,0,9850,1,3
0,1000,4850,5750,0,2,1
0,1000,4900,5100,0,3,1
0,1000,4950,0,6450,2,2
0,1000,5000,0,0,1,1
0,1000,5050,0,11700,2,3
0,1000,5100,0,0,1,1
0,1000,5150,0,0,1,1
0,1000,5200,0,24750,1,5
0,1000,5250,0,0,1,1
0,1000,5300,0,8300,1,2
0,1000,5350,0,0,1,1
0,1000,5400,0,0,1,1
0,1000,5450,0,0,1,1
0,1000,5500,0,5700,1,2
0,1000,5550,0,0,1,1
0,1000,5600,0,5750,1,2
0,1000,5650,0,0,1,1
0,1000,5700,0,0,1,1
0,1000,5750,0,0,1,1
0,1000,5800,0,0,1,1
0,1000,5850,0,0,1,1
0,1000,5900,0,0,1,1
0,1000,5950,0,0,1,1
0,1000,6000,0,57450,1,9
0,1000,6050,0,0,1,1
0,1000,6100,0,0,1,1
0,1000,6150,0,0,1,1
0,1000,6200,0,0,1,1
0,1000,6250,0,0,1,1
0,1000,6300,0,0,1,1
0,1000,6350,0,25750,1,5
0,1000,6400,0,6650,1,2
0,1000,6450,13600,0,3,1
0,1000,6500,0,0,1,1
0,1000,6550,0,0,1,1
0,1000,6600,0,0,1,1
0,1000,6650,0,13500,1,3
0,1000,6700,0,0,1,1
0,1000,6750,0,0,1,1
0,1000,6800,0,0,1,1
0,1000,6850,0,0,1,1
0,1000,6900,0,0,1,1
0,1000,6950,0,0,1,1
0,1000,7000,0,0,1,1
0,1000,7050,0,0,1,1
0,1000,7100,0,0,1,1
0,1000,7150,0,0,1,1
0,1000,7200,0,0,1,1
0,1000,7250,0,0,1,1
0,1000,7300,0,0,1,1
0,1000,7350,0,0,1,1
0,1000,7400,0,0,1,1
0,1000,7450,0,0,1,1
0,1000,7500,9300,0,2,1
0,1000,7550,0,0,1,1
0,1000,7600,0,0,1,1
0,1000,7650,0,0,1,1
0,1000,7700,0,0,1,1
0,1000,7750,0,0,1,1
0,1000,7800,0,0,1,1
0,1000,7850,0,0,1,1
0,1000,7900,0,0,1,1
0,1000,7950,0,8050,1,2
0,1000,8000,0,0,1,1
0,1000,8050,0,0,1,1
0,1000,8100,0,0,2,1
0,1000,8150,0,0,1,1
0,1000,8200,0,0,1,1
0,1000,8250,0,0,1,1
0,1000,8300,0,0,2,1
0,1000,8350,0,0,1,1
0,1000,8400,0,0,1,1
0,1000,8450,0,0,1,1
0,1000,8500,0,0,1,1
0,1000,8550,0,0,1,1
0,1000,8600,9000,0,2,1
0,1000,8650,0,0,1,1
0,1000,8700,0,0,1,1
0,1000,8750,0,0,1,1
0,1000,8800,0,0,1,1
0,1000,8850,0,0,1,1
0,1000,8900,0,0,1,1
0,1000,8950,0,0,1,1
0,1000,9000,0,0,1,1
0,1000,9050,0,0,1,1
0,1000,9100,0,0,1,1
0,1000,9150,0,0,1,1
0,1000,9200,0,0,1,1
0,1000,9250,0,0,1,1
0,1000,9300,0,0,1,1
0,1000,9350,0,0,1,1
