estado,puntuacion,tirar,plantarse,c_tirar,c_plantarse
0,0,0,0,1,1
0,50,178183950,2686350,88503,1731
0,100,177453150,2170300,88522,1337
0,150,205390750,11839950,120681,8778
0,200,220145750,2510650,128818,1638
0,250,224106950,2535600,126984,1653
0,300,224115500,2935050,127069,1987
0,350,324314600,2769750,245677,3114
0,400,1155780150,7496250,1176570,14780
0,450,1594111050,10885250,1597068,20851
0,500,1391348050,10041550,1319874,17099
0,550,904629100,6846250,789155,9938
0,600,946985150,7385000,798434,10148
0,650,806646600,6642100,642531,8164
0,700,718519700,6031000,544890,6883
0,750,551609250,5333950,387489,5369
0,800,1151048000,9913100,856581,10947
0,850,859062800,7882650,601476,7939
0,900,510905950,5434150,322594,4803
0,950,196766750,2085900,88072,1144
0,1000,307406600,4331550,165375,3051
0,1050,197407150,3791000,88356,2101
0,1100,313296400,4903450,163891,3358
0,1150,305888900,3031900,155844,1956
0,1200,694340150,7408300,393066,5535
0,1250,523415050,5597150,280990,3920
0,1300,385104750,4922400,194785,3115
0,1350,191351350,1898600,81729,1003
0,1400,322356750,3434850,153706,2025
0,1450,183082250,2003150,76977,987
0,1500,15967278700,157935950,8315124,104940
0,1550,89370650,3248400,27992,1184
0,1600,239401250,3675400,102240,1917
0,1650,95714200,1051300,30428,379
0,1700,94956400,1045800,29871,378
0,1750,91056900,1054150,27989,362
0,1800,90818500,1018350,27885,355
0,1850,103887900,1125900,33683,417
0,1900,216889500,2526050,82600,1125
0,1950,260038950,2688500,99972,1220
0,2000,241344900,6216100,90444,2758
0,2050,185632150,3142250,66123,1312
0,2100,196873450,2065500,69979,833
0,2150,167481350,1920250,57611,741
0,2200,150665200,1696200,50427,653
0,2250,117143950,1290500,36834,458
0,2300,211704200,2848950,72059,1107
0,2350,166780400,1947950,54658,716
0,2400,125389800,1486700,39056,519
0,2450,72411400,6741600,20219,2159
0,2500,96092800,1089550,28135,350
0,2550,77192250,788250,21696,249
0,2600,96461300,1088900,28080,347
0,2650,82225050,5860750,23420,1919
0,2700,120233200,10456650,35776,3548
0,2750,96174450,10455550,27956,3490
0,2800,75239950,22629750,21568,7469
