estado,puntuacion,tirar,plantarse,c_tirar,c_plantarse
0,0,0,0,1,1
0,50,215150,138650,4503,2774
0,100,92700,735700,1046,7358
0,150,6750,1713900,56,11427
0,200,11600,2289400,64,11448
0,250,10250,2898500,47,11595
0,300,17100,3413700,62,11380
0,350,11613800,1188950,20907,3398
0,400,92084150,350400,117361,877
0,450,134725050,378000,159934,841
0,500,116382250,604000,130582,1209
0,550,71476300,211750,78944,386
0,600,76457850,258000,80231,431
0,650,63708450,682500,64101,1051
0,700,56545750,198100,54985,284
0,750,39109500,1191000,37693,1589
0,800,99419150,325600,86256,408
0,850,70419400,1661750,59584,1956
0,900,36847650,1222200,31060,1359
0,950,30550,7821350,33,8234
0,1000,17803450,1937000,14958,1938
0,1050,1635950,7196700,1518,6855
0,1100,18736100,1967900,14743,1790
0,1150,20048750,98900,15363,87
0,1200,54743000,2839200,37260,2367
0,1250,42047400,198750,28102,160
0,1300,29265350,118300,19526,92
0,1350,22950,10332900,20,7655
0,1400,23931350,105000,15338,76
0,1450,46100,10625600,34,7329
0,1500,1569543500,6546000,845348,4365
0,1550,19650,4163300,13,2687
0,1600,18596800,64000,10282,41
0,1650,5131350,44550,3134,28
0,1700,5051400,18700,2969,12
0,1750,23250,4646250,15,2656
0,1800,27700,4777200,16,2655
0,1850,19500,5368700,12,2903
0,1900,16531350,74100,8125,40
0,1950,89400,19117800,48,9805
0,2000,19394300,96000,9194,49
0,2050,74000,13021600,38,6353
0,2100,112150,13809600,55,6577
0,2150,12846100,68800,5878,33
0,2200,11665000,48400,5209,23
0,2250,27750,7571250,16,3366
0,2300,17091800,73600,7083,33
0,2350,91950,12267000,41,5221
0,2400,54350,9168000,24,3821
0,2450,22050,5218500,11,2131
0,2500,24900,6562500,13,2626
0,2550,5125950,20400,2087,9
0,2600,39800,6934200,16,2668
0,2650,21950,6155950,9,2324
0,2700,51400,9828000,21,3641
0,2750,107800,8046500,40,2927
0,2800,35550,8005200,15,2860
0,2850,2496900,2978250,968,1046
0,2900,7218100,34800,2614,13
0,2950,5399350,26550,1969,10
0,3000,12517100,765120000,4041,255041
0,3050,0,606950,3,200
0,3100,15900,2538900,6,820
0,3150,702200,3150,287,2
0,3200,776650,3200,245,2
0,3250,6500,656500,3,203
0,3300,13200,633600,6,193
0,3350,807850,3350,325,2
0,3400,18200,5110200,7,1504
0,3450,6321850,37950,1834,12
0,3500,6113800,35000,1822,11
0,3550,7450,3187900,4,899
0,3600,11900,3322800,5,924
0,3650,32700,2912700,9,799
0,3700,8250,2571500,3,696
0,3750,4350,1560000,3,417
0,3800,12950,4457400,6,1174
0,3850,2458450,7700,701,3
0,3900,5000,1443000,2,371
0,3950,11850,406850,5,104
0,4000,4400,896000,3,225
0,4050,460950,0,130,1
0,4100,4100,779000,2,191
0,4150,4300,738700,2,179
0,4200,4700,1692600,3,404
0,4250,0,1521500,1,359
0,4300,8950,1040600,3,243
0,4350,384500,0,98,1
0,4400,4600,950400,3,217
0,4450,312450,4450,80,2
0,4500,40305450,288000,8913,65
0,4550,0,172900,1,39
0,4600,525500,4600,128,2
0,4650,203950,0,53,1
0,4700,0,216200,1,47
0,4750,0,114000,1,25
0,4800,0,124800,1,27
0,4850,0,126100,1,27
0,4900,465900,0,96,1
0,4950,487800,14850,110,4
0,5000,867550,0,188,1
0,5050,0,287850,1,58
0,5100,291800,0,62,1
0,5150,0,468650,1,92
0,5200,437250,0,93,1
0,5250,0,136500,1,27
0,5300,0,487600,2,93
0,5350,5550,288900,2,55
0,5400,219200,0,45,1
0,5450,0,103550,1,20
0,5500,0,148500,1,28
0,5550,0,99900,1,19
0,5600,0,117600,3,22
0,5650,157750,0,29,1
0,5700,5700,153900,2,28
0,5750,145100,0,28,1
0,5800,0,145000,1,26
0,5850,165000,0,30,1
0,5900,163350,0,31,1
0,5950,0,136850,1,24
0,6000,12950,2208000,4,369
0,6050,48400,0,11,1
0,6100,6100,140300,3,24
0,6150,87450,0,16,1
0,6200,43400,0,9,1
0,6250,0,75000,1,13
0,6300,0,75600,1,13
